bank,sub,clip_id,usa_payload_bytes,jp_payload_bytes,usa_frames,jp_frames,usa_seconds,jp_seconds,max_payload_bytes,max_seconds,max_subfile_bytes,max_region,max_header_patch,max_flag_patch
1501,19,8345,33920,32512,2120,2032,2.473333,2.370667,33920,2.473333,36864,usa,,8441:01;8451:07
1501,20,8346,26368,27648,1648,1728,1.922667,2.016000,27648,2.016000,30720,jp,15:6b;39:79;85:6f;91:6c;95:6b;b0:40;b1:40,6b81:01;6b91:07
1502,0,838a,105984,117120,6624,7320,7.728000,8.540000,117120,8.540000,120832,jp,14:80;15:c9;3d:84;3e:00;85:cf;90:80;91:c9;94:80;95:c9;b0:40;b1:40,1c941:01;1c951:07
1502,1,838b,65280,59136,4080,3696,4.760000,4.312000,65280,4.760000,67584,usa,,fee1:01;fef1:07
1502,2,838c,52608,50944,3288,3184,3.836000,3.714667,52608,3.836000,55296,usa,,cd41:01;cd51:07
1502,3,838d,59776,59008,3736,3688,4.358667,4.302667,59776,4.358667,63488,usa,,e921:01;e931:07
1502,4,838e,88576,96000,5536,6000,6.458667,7.000000,96000,7.000000,98304,jp,14:c0;15:76;3e:24;85:7b;91:77;94:c0;95:76;b0:40;b1:40,176a1:01;176b1:07
1502,5,838f,41344,46720,2584,2920,3.014667,3.406667,46720,3.406667,49152,jp,15:b6;3e:4c;85:bb;91:b6;95:b6;b0:40;b1:40,b631:01;b641:07
1502,6,8390,24704,20352,1544,1272,1.801333,1.484000,24704,1.801333,28672,usa,,6021:01;6031:07
1502,7,8391,43008,51456,2688,3216,3.136000,3.752000,51456,3.752000,55296,jp,15:c9;3e:61;85:cf;91:c9;95:c9;b0:40;b1:40,c8b1:01;c8c1:07
1502,8,8392,12416,11520,776,720,0.905333,0.840000,12416,0.905333,16384,usa,,3021:01;3031:07
